symbol,season,kind,fact_id,metric,segment,stat,value,period,confidence,flags_or_reason,section,speaker,sentence
CPRT,2026Q1,low_confidence_fact,CPRT_2026_3-002,gross_profit,total,growth,3.7%,third quarter,low,basis_unspecified; conflict_with_other_value,prepared,Leah Stearns,"Global gross profit increased 3.7% to $572.6 million, with global gross margins increasing 71 basis points to 46.3%."
CPRT,2026Q1,low_confidence_fact,CPRT_2026_3-011,operating_income,total,level,$390.4M,third quarter,low,conflict_with_other_value,prepared,Leah Stearns,"Operating income was $390.4 million, reflecting a 38.1% operating margin."
CPRT,2026Q1,low_confidence_fact,CPRT_2026_3-012,operating_margin,total,level,38.1%,third quarter,low,conflict_with_other_value,prepared,Leah Stearns,"Operating income was $390.4 million, reflecting a 38.1% operating margin."
CPRT,2026Q1,medium_confidence_fact,CPRT_2026_3-013,revenue,international,growth,14.1%,third quarter,medium,segment_lowercase_phrase; basis_unspecified,prepared,Leah Stearns,"For the quarter, international revenue grew 14.1% or 7.9% excluding the positive impact of foreign currency fluctuations, to $234.2 million."
CPRT,2026Q1,medium_confidence_fact,CPRT_2026_3-014,revenue,service,growth,17.9%,third quarter,medium,segment_lowercase_phrase; basis_unspecified,prepared,Leah Stearns,"The primary source of growth internationally came from service revenues, which were up 17.9%, driven by a 10.5% increase in fee revenue per unit and strong volume growth."
CPRT,2026Q1,low_confidence_fact,CPRT_2026_3-015,gross_profit,total,growth,21.9%,third quarter,low,basis_unspecified; conflict_with_other_value,prepared,Leah Stearns,"The profit picture was equally compelling, with gross profit increasing 21.9% and operating income reaching $73.8 million, representing a 31.5% operating margin."
CPRT,2026Q1,low_confidence_fact,CPRT_2026_3-016,operating_income,total,level,$73.8M,third quarter,low,conflict_with_other_value,prepared,Leah Stearns,"The profit picture was equally compelling, with gross profit increasing 21.9% and operating income reaching $73.8 million, representing a 31.5% operating margin."
CPRT,2026Q1,low_confidence_fact,CPRT_2026_3-017,operating_margin,total,level,31.5%,third quarter,low,conflict_with_other_value,prepared,Leah Stearns,"The profit picture was equally compelling, with gross profit increasing 21.9% and operating income reaching $73.8 million, representing a 31.5% operating margin."
CPRT,2026Q1,unclaimed_figure,,,,,2.7%,,,change_without_metric,prepared,Jeffrey Liaw,"First, for the third quarter 2026, our global insurance unit sales declined 2.7% or 1.9%, excluding the effect of catastrophic volume from a year ago."
CPRT,2026Q1,unclaimed_figure,,,,,1.9%,,,no_metric_phrase,prepared,Jeffrey Liaw,"First, for the third quarter 2026, our global insurance unit sales declined 2.7% or 1.9%, excluding the effect of catastrophic volume from a year ago."
CPRT,2026Q1,unclaimed_figure,,,,,4.2%,,,change_without_metric,prepared,Jeffrey Liaw,"Our U.S. insurance unit volume for the same period declined 4.2% or just over 3%, excluding the effect of those same catastrophic units."
CPRT,2026Q1,unclaimed_figure,,,,,3%,,,no_metric_phrase,prepared,Jeffrey Liaw,"Our U.S. insurance unit volume for the same period declined 4.2% or just over 3%, excluding the effect of those same catastrophic units."
CPRT,2026Q1,unclaimed_figure,,,,,4%,,,change_without_metric,prepared,Jeffrey Liaw,"As one indicator of this trend from a macro level, earned car years according to ISS Fast Track have declined 4% year-over-year in the fourth calendar quarter of 2025, while vehicles in operation grew 1.4%."
CPRT,2026Q1,unclaimed_figure,,,,,1.4%,,,change_without_metric,prepared,Jeffrey Liaw,"As one indicator of this trend from a macro level, earned car years according to ISS Fast Track have declined 4% year-over-year in the fourth calendar quarter of 2025, while vehicles in operation grew 1.4%."
CPRT,2026Q1,unclaimed_figure,,,,,25%,,,no_metric_phrase,prepared,Jeffrey Liaw,"As one other strong indication of consumers absorbing ever more of the financial burdens of their claims, CCC has published data indicating that 25% of repairs are now self-pay and that in response, they've created a Buy Now, Pay Later product to support those consumers."
CPRT,2026Q1,unclaimed_figure,,,,,23.6%,,,no_metric_phrase,prepared,Jeffrey Liaw,"Total loss frequency for the first calendar quarter 2026 reached 23.6%, an increase of almost 5 full percentage points over the past four years."
CPRT,2026Q1,unclaimed_figure,,,,,4.1%,,,change_without_metric,prepared,Jeffrey Liaw,"On returns, specifically, despite the logistical and economic disruptions of global conflict, U.S. insurance ASPs increased 4.1% year-over-year for the quarter, reaching a seasonally adjusted all-time record high for Copart insurance ASPs in the third quarter."
CPRT,2026Q1,unclaimed_figure,,,,,4.6%,,,no_metric_phrase,prepared,Leah Stearns,"During the quarter, we continued to see expansion in average selling prices, which rose 4.6% and more than offset a modest decline in unit volumes of 2.4%."
CPRT,2026Q1,unclaimed_figure,,,,,2.4%,,,no_metric_phrase,prepared,Leah Stearns,"During the quarter, we continued to see expansion in average selling prices, which rose 4.6% and more than offset a modest decline in unit volumes of 2.4%."
CPRT,2026Q1,unclaimed_figure,,,,,2.7%,,,change_without_metric,prepared,Leah Stearns,"On the insurance side, global units were down 2.7%, consistent with the industry dynamics Jeff outlined, while global noninsurance units decreased 1.4%."
CPRT,2026Q1,unclaimed_figure,,,,,1.4%,,,change_without_metric,prepared,Leah Stearns,"On the insurance side, global units were down 2.7%, consistent with the industry dynamics Jeff outlined, while global noninsurance units decreased 1.4%."
CPRT,2026Q1,unclaimed_figure,,,,,2%,,,change_without_metric,prepared,Leah Stearns,"Notably, while global inventory was down 2% from the prior year, global assignment volumes grew at a low single-digit pace."
CPRT,2026Q1,unclaimed_figure,,,,,46.3%,,,not_tied_to_metric,prepared,Leah Stearns,"Global gross profit increased 3.7% to $572.6 million, with global gross margins increasing 71 basis points to 46.3%."
CPRT,2026Q1,unclaimed_figure,,,,,4.2%,,,change_without_metric,prepared,Leah Stearns,Total units declined 4.2% or 3.3% excluding Copart Direct units.
CPRT,2026Q1,unclaimed_figure,,,,,3.3%,,,no_metric_phrase,prepared,Leah Stearns,Total units declined 4.2% or 3.3% excluding Copart Direct units.
CPRT,2026Q1,unclaimed_figure,,,,,4.2%,,,change_without_metric,prepared,Leah Stearns,"Insurance volumes decreased 4.2%, which are consistent with the claims frequency trends Jeff described a few moments ago."
CPRT,2026Q1,unclaimed_figure,,,,,1%,,,no_metric_phrase,prepared,Leah Stearns,Our Dealer Services and powersports businesses grew units by 1%.
CPRT,2026Q1,unclaimed_figure,,,,,4%,,,change_without_metric,prepared,Leah Stearns,Our BluCar commercial consignment channel expanded by over 4% over the prior year.
CPRT,2026Q1,unclaimed_figure,,,,,26.3%,,,change_without_metric,prepared,Leah Stearns,Our Copart Direct unit volume declined 26.3% as we continue to strategically shift lower-value units to our direct buy channel.
CPRT,2026Q1,unclaimed_figure,,,,,4.7%,,,change_without_metric,prepared,Leah Stearns,"On the inventory side, U.S. inventory is down 4.7% year-over-year, and U.S. assignments declined at a low single-digit pace during the quarter."
CPRT,2026Q1,unclaimed_figure,,,,,25%,,,no_metric_phrase,prepared,Leah Stearns,"Shifting to Purple Wave, our focus on organic territory sales expansion continues to yield strong gross transaction value growth, which was more than 25% for the last 12 months."
CPRT,2026Q1,unclaimed_figure,,,,,0.4%,,,change_without_metric,prepared,Leah Stearns,"On revenue, the U.S. segment was essentially flat, down 0.4% as higher revenue per unit largely was offset by volume headwinds."
CPRT,2026Q1,unclaimed_figure,,,,,4.1%,,,change_without_metric,prepared,Leah Stearns,"Insurance ASPs increased 4.1%, noninsurance ASPs increased 3.7% and purchased unit ASPs increased 23%."
CPRT,2026Q1,unclaimed_figure,,,,,3.7%,,,change_without_metric,prepared,Leah Stearns,"Insurance ASPs increased 4.1%, noninsurance ASPs increased 3.7% and purchased unit ASPs increased 23%."
CPRT,2026Q1,unclaimed_figure,,,,,23%,,,change_without_metric,prepared,Leah Stearns,"Insurance ASPs increased 4.1%, noninsurance ASPs increased 3.7% and purchased unit ASPs increased 23%."
CPRT,2026Q1,unclaimed_figure,,,,,5.9%,,,change_without_metric,prepared,Leah Stearns,Total units sold increased 5.9% with insurance units up 4.6% and noninsurance units growing 11.2% in the quarter.
CPRT,2026Q1,unclaimed_figure,,,,,4.6%,,,change_without_metric,prepared,Leah Stearns,Total units sold increased 5.9% with insurance units up 4.6% and noninsurance units growing 11.2% in the quarter.
CPRT,2026Q1,unclaimed_figure,,,,,11.2%,,,change_without_metric,prepared,Leah Stearns,Total units sold increased 5.9% with insurance units up 4.6% and noninsurance units growing 11.2% in the quarter.
CPRT,2026Q1,unclaimed_figure,,,,,10%,,,change_without_metric,prepared,Leah Stearns,Inventory in our international segment increased over 10% from a year-ago period and international assignments increased at a low-teens pace.
CPRT,2026Q1,unclaimed_figure,,,,,7.9%,,,not_tied_to_metric,prepared,Leah Stearns,"For the quarter, international revenue grew 14.1% or 7.9% excluding the positive impact of foreign currency fluctuations, to $234.2 million."
CPRT,2026Q1,unclaimed_figure,,,,,$234.2 million,,,not_tied_to_metric,prepared,Leah Stearns,"For the quarter, international revenue grew 14.1% or 7.9% excluding the positive impact of foreign currency fluctuations, to $234.2 million."
CPRT,2026Q1,unclaimed_figure,,,,,10.5%,,,not_tied_to_metric,prepared,Leah Stearns,"The primary source of growth internationally came from service revenues, which were up 17.9%, driven by a 10.5% increase in fee revenue per unit and strong volume growth."
CPRT,2026Q1,unclaimed_figure,,,,,8.4%,,,change_without_metric,prepared,Leah Stearns,Revenue per unit was positively impacted by strong ASP growth with insurance ASPs increasing 8.4% and noninsurance ASPs growing 16.7%.
CPRT,2026Q1,unclaimed_figure,,,,,16.7%,,,change_without_metric,prepared,Leah Stearns,Revenue per unit was positively impacted by strong ASP growth with insurance ASPs increasing 8.4% and noninsurance ASPs growing 16.7%.
CPRT,2026Q1,unclaimed_figure,,,,,$5.5 billion,,,no_metric_phrase,prepared,Leah Stearns,"We ended the quarter with liquidity of approximately $5.5 billion, which includes $4.2 billion in cash and equivalents and held-to-maturity securities and no debt."
CPRT,2026Q1,unclaimed_figure,,,,,$4.2 billion,,,no_metric_phrase,prepared,Leah Stearns,"We ended the quarter with liquidity of approximately $5.5 billion, which includes $4.2 billion in cash and equivalents and held-to-maturity securities and no debt."
CPRT,2026Q1,unclaimed_figure,,,,,$1.6 billion,,,no_metric_phrase,prepared,Leah Stearns,"Fiscal year-to-date, we have repurchased over 43.4 million shares for an aggregate amount of over $1.6 billion, underscoring our confidence in the future growth prospects for Copart and the long-term value of our business."
CPRT,2026Q1,unclaimed_figure,,,,,100%,,,no_metric_phrase,qa,Jeffrey Liaw,"Compared to seven or eight years ago, many more carriers have moved to an effectively nearly 100% pure sale approach; a handful have moved meaningfully the other way."
CPRT,2026Q1,unclaimed_figure,,,,,25%,,,no_metric_phrase,qa,Leah Stearns,"On GTV, we look at it on an LTM basis, and GTV has grown over 25% year-over-year."
CPRT,2026Q1,unclaimed_figure,,,,,$15 million,,,no_metric_phrase,qa,Leah Stearns,"For the quarter, we saw about $15 million of year-over-year increase in costs on the facility operations line related to our long-haul delivery product."
